method,median_end_to_end_ns,median_end_to_end_ms
B1,97760485.0,97.760485
B0,676160393.0,676.160393
C1,232028452.5,232.0284525
B0,53906356.0,53.906356
C1,206527545.0,206.527545
C1,332652331.0,332.652331
B1,345152505.0,345.152505
C1,251868850.0,251.86885
B1,442598256.0,442.598256
B0,61585730.0,61.58573
C0,414986320.5,414.9863205
B1,54577114.5,54.5771145
C0,55192607.0,55.192607
B1,53943505.0,53.943505
C1,235826223.0,235.826223
B0,55577941.5,55.5779415
B1,60256539.5,60.2565395
C0,53761754.0,53.761754
B0,390816545.5,390.8165455
C0,376186783.0,376.186783
C1,294605686.5,294.6056865
B1,52080413.0,52.080413
B0,373509645.5,373.5096455
C0,328384722.0,328.384722
C1,303300581.5,303.3005815
C1,56911855.5,56.9118555
C1,379998614.0,379.998614
B0,304488427.5,304.4884275
C1,171127128.0,171.127128
C1,373974259.0,373.974259
B0,200469340.5,200.4693405
C1,196199929.5,196.1999295
C0,234912445.5,234.9124455
C0,56056527.5,56.0565275
C0,197338609.0,197.338609
C0,210022076.0,210.022076
B0,57335208.5,57.3352085
B1,210552609.0,210.552609
C0,377897975.5,377.8979755
C0,347243865.5,347.2438655
C1,57668088.5,57.6680885
B0,399921361.0,399.921361
B0,195482468.0,195.482468
B1,55513312.5,55.5133125
C0,392014948.5,392.0149485
C1,194831701.0,194.831701
B1,228137519.0,228.137519
C1,426744968.5,426.7449685
B1,420545915.0,420.545915
B0,327680328.5,327.6803285
C0,64592930.5,64.5929305
B1,204264874.0,204.264874
B1,190457764.5,190.4577645
B0,54440078.0,54.440078
C0,58029758.0,58.029758
B1,53819785.0,53.819785
C0,57066340.0,57.06634
C1,221540787.0,221.540787
C1,389327552.5,389.3275525
C1,227105419.5,227.1054195
C1,70216819.0,70.216819
B0,366016392.0,366.016392
B0,136062111.0,136.062111
C1,58483865.5,58.4838655
B1,195054513.0,195.054513
B0,376315558.0,376.315558
B1,62654634.5,62.6546345
C1,361224303.0,361.224303
C0,191773889.5,191.7738895
B0,344750411.0,344.750411
B1,231177902.5,231.1779025
B0,321591289.5,321.5912895
B0,240771109.0,240.771109
B0,314269569.5,314.2695695
B1,55983812.5,55.9838125
B0,195232099.5,195.2320995
B1,350833063.0,350.833063
B1,309738443.5,309.7384435
B0,208653105.0,208.653105
B0,54360252.0,54.360252
C0,419225061.5,419.2250615
C1,57623703.5,57.6237035
B1,59026236.5,59.0262365
C1,56083010.0,56.08301
C0,348558238.5,348.5582385
C0,225614346.0,225.614346
B1,54151451.0,54.151451
C1,349924287.0,349.924287
B0,322599408.5,322.5994085
B0,312500656.0,312.500656
C1,414163736.5,414.1637365
B0,214711595.5,214.7115955
B0,410436661.5,410.4366615
B1,227830683.0,227.830683
B0,368233979.0,368.233979
C1,55231462.5,55.2314625
B1,360263747.5,360.2637475
C1,174804285.5,174.8042855
C0,335553607.0,335.553607
C1,233543369.0,233.543369
B0,363347796.0,363.347796
B1,65905314.5,65.9053145
B0,372731931.5,372.7319315
B1,53369921.0,53.369921
C1,54793662.0,54.793662
C0,57525553.0,57.525553
C0,330760825.5,330.7608255
C1,54696022.0,54.696022
B0,227755995.5,227.7559955
B0,203884262.0,203.884262
C1,60355569.0,60.355569
C1,74911070.0,74.91107
B0,62247404.0,62.247404
B1,379030976.5,379.0309765
B0,428014633.5,428.0146335
B0,60529081.5,60.5290815
B0,212785862.5,212.7858625
B0,208503044.0,208.503044
B0,253845312.0,253.845312
B0,52892208.0,52.892208
B0,167274431.0,167.274431
B1,188066239.0,188.066239
C0,282904385.0,282.904385
B1,236469418.5,236.4694185
C0,51364831.0,51.364831
C1,60413401.0,60.413401
B0,53639945.0,53.639945
C1,456131159.0,456.131159
B1,361452129.0,361.452129
C1,204596480.5,204.5964805
B1,305744381.0,305.744381
C0,228117190.5,228.1171905
B1,362455852.5,362.4558525
B0,53767589.5,53.7675895
C0,54734055.0,54.734055
C0,204703492.0,204.703492
C0,202277884.5,202.2778845
C1,51942158.5,51.9421585
C0,52709250.0,52.70925
B1,144075691.5,144.0756915
C0,353001777.5,353.0017775
B0,357416859.5,357.4168595
C0,53508900.5,53.5089005
B1,200100695.5,200.1006955
C0,183280861.5,183.2808615
C0,185315994.5,185.3159945
C1,334492370.5,334.4923705
B0,57749174.5,57.7491745
B0,198427610.5,198.4276105
